"Source:","\\wsl.localhost\Ubuntu\home\john\projects\keeb-design\3x3-macropad\3x3-macropad.kicad_sch"
"Date:","7/12/2023 16:07:14"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","34"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3","3","0.1uF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C4, C5","2","22pF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C6","1","1uF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"C7","1","10uF","C_Small","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor, small symbol","",""
"D1, D2, D3, D4, D5, D6, D10","7","SOD_123","D_Small","Diode_SMD:D_SOD-123","Diode, small symbol","",""
"F1","1","500mA","Polyfuse_Small","Fuse:Fuse_1206_3216Metric","Resettable fuse, polymeric positive temperature coefficient, small symbol","",""
"MX1, MX2, MX3, MX4, MX5, MX6, MX10","7","MX-NoLED","MX-NoLED","MX_Alps_Hybrid:MX-1U-NoLED","","",""
"R1, R2","2","22","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R3, R4","2","10k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R5, R6, R7","3","5k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"SW1","1","SW_Push","SW_Push","random-keyboard-parts:SKQG-1155865","Push button switch, generic, two pins","",""
"SW2","1","RotaryEncoder_Switch","RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","Rotary encoder, dual channel, incremental quadrate outputs, with switch","",""
"U1","1","ATmega32U4-A","ATmega32U4-A","Package_QFP:TQFP-44_10x10mm_P0.8mm","16MHz, 32kB Flash, 2.5kB SRAM, 1kB EEPROM, USB 2.0, TQFP-44","",""
"USB1","1","Molex-0548190589","Molex-0548190589","random-keyboard-parts:Molex-0548190589","","",""
"Y1","1","16MHz","Crystal_GND24_Small","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","Four pin crystal, GND on pins 2 and 4, small symbol","",""
